Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.387500,-33.600000,180.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",24.300000,-26.600000,90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.600000,-28.800000,90.000000,top
"CON1","TROPIC01","TROPIC01_mikrobus",16.740000,-19.770000,0.000000,top
"D1","LED_G","LED_0805_2012Metric",28.000000,-47.250000,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",45.000000,-61.500000,0.000000,top
"IC1","TROPIC01_chip","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm",28.600000,-29.050000,0.000000,top
"J2","CS select jumper switch","PinHeader_2x03_P2.54mm_Vertical",7.975000,-26.195000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.000000,-47.250000,0.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.000000,-43.500000,0.000000,top
"R3","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",9.250000,-35.750000,0.000000,top
